id,fips,date,newcase,newdeath
10450,12105,2/15/2020,0,0
10451,12105,2/16/2020,0,0
10452,12105,2/17/2020,0,0
10453,12105,2/18/2020,0,0
10454,12105,2/19/2020,0,0
10455,12105,2/20/2020,0,0
10456,12105,2/21/2020,0,0
10457,12105,2/22/2020,0,0
10458,12105,2/23/2020,0,0
10459,12105,2/24/2020,0,0
10460,12105,2/25/2020,0,0
10461,12105,2/26/2020,0,0
10462,12105,2/27/2020,0,0
10463,12105,2/28/2020,0,0
10464,12105,2/29/2020,0,0
10465,12105,3/1/2020,0,0
10466,12105,3/2/2020,0,0
10467,12105,3/3/2020,0,0
10468,12105,3/4/2020,0,0
10469,12105,3/5/2020,0,0
10470,12105,3/6/2020,0,0
10471,12105,3/7/2020,0,0
10472,12105,3/8/2020,0,0
10473,12105,3/9/2020,0,0
10474,12105,3/10/2020,0,0
10475,12105,3/11/2020,0,0
10476,12105,3/12/2020,0,0
10477,12105,3/13/2020,0,0
10478,12105,3/14/2020,0,0
10479,12105,3/15/2020,0,0
10480,12105,3/16/2020,0,0
10481,12105,3/17/2020,1,0
10482,12105,3/18/2020,1,0
10483,12105,3/19/2020,2,0
10484,12105,3/20/2020,6,0
10485,12105,3/21/2020,0,0
10486,12105,3/22/2020,1,0
10487,12105,3/23/2020,2,0
10488,12105,3/24/2020,0,0
10489,12105,3/25/2020,2,0
10490,12105,3/26/2020,5,0
10491,12105,3/27/2020,8,0
10492,12105,3/28/2020,9,0
10493,12105,3/29/2020,9,0
10494,12105,3/30/2020,17,0
10495,12105,3/31/2020,10,1
10496,12105,4/1/2020,18,0
10497,12105,4/2/2020,12,1
10498,12105,4/3/2020,23,1
10499,12105,4/4/2020,16,1
10500,12105,4/5/2020,15,0
10501,12105,4/6/2020,23,1
10502,12105,4/7/2020,19,0
10503,12105,4/8/2020,7,1
10504,12105,4/9/2020,28,1
10505,12105,4/10/2020,7,1
10506,12105,4/11/2020,3,0
10507,12105,4/12/2020,10,0
10508,12105,4/13/2020,16,0
10509,12105,4/14/2020,9,2
10510,12105,4/15/2020,8,0
10511,12105,4/16/2020,17,1
10512,12105,4/17/2020,12,1
10513,12105,4/18/2020,4,0
10514,12105,4/19/2020,6,0
10515,12105,4/20/2020,9,2
10516,12105,4/21/2020,21,1
10517,12105,4/22/2020,8,1
10518,12105,4/23/2020,15,1
10519,12105,4/24/2020,14,1
10520,12105,4/25/2020,7,0
10521,12105,4/26/2020,10,0
10522,12105,4/27/2020,31,0
10523,12105,4/28/2020,16,2
10524,12105,4/29/2020,11,2
10525,12105,4/30/2020,15,1
10526,12105,5/1/2020,17,1
10527,12105,5/2/2020,14,2
10528,12105,5/3/2020,9,0
10529,12105,5/4/2020,13,0
10530,12105,5/5/2020,11,2
10531,12105,5/6/2020,17,2
10532,12105,5/7/2020,30,0
10533,12105,5/8/2020,7,1
10534,12105,5/9/2020,22,2
10535,12105,5/10/2020,13,0
10536,12105,5/11/2020,19,0
10537,12105,5/12/2020,20,2
10538,12105,5/13/2020,12,1
10539,12105,5/14/2020,11,1
10540,12105,5/15/2020,18,3
10541,12105,5/16/2020,6,1
10542,12105,5/17/2020,14,1
10543,12105,5/18/2020,10,1
10544,12105,5/19/2020,20,2
10545,12105,5/20/2020,20,0
10546,12105,5/21/2020,36,1
10547,12105,5/22/2020,18,3
10548,12105,5/23/2020,13,0
10549,12105,5/24/2020,16,0
10550,12105,5/25/2020,9,0
